env_package	samp_size	count
		21937857
host-associated		76378
human-gut		60103
water		20621
miscellaneous natural or artificial environment		16263
human-skin		14771
built environment		14600
	.1,g	13139
human-oral		11909
soil		10969
		8894
	not applicable	8722
	missing	8442
	NA	7503
human-associated		7082
soil	.1,g	4856
sediment	2 ml	3833
	0.1g	3782
plant-associated		3622
	not collected	3383
sediment		3366
microbial mat_biofilm		3104
	2 cm	2301
	0.25g	1997
	0.25 g	1966
	10g	1951
	1	1894
	250 mg	1807
	5g	1614
	2 mL	1609
	1.5 ml	1530
	200 mg	1495
	0.1 g	1386
	approx. 50 ml	1354
	1 mL	1332
	250mL	1289
wastewater_sludge		1280
	NOT APPLICABLE	1249
	50mL	1225
	4L	1140
human-vaginal		1124
	0.1,gram	1046
	1 L	999
	16 oz.	944
	1 cm3	940
	2	929
	1L	907
	20cm	879
	1 ml	853
	500 mL	852
	50 ml	851
	0.5 g	834
	10 g	833
	250-500 mL	816
	0.5 cm3	813
	1ml	800
	500 ml	792
	10mL	792
	1mL	771
	.25g	764
	100 mL	750
	5	712
	4 ML	711
	0.1,g	686
human-gut	.1,g	683
	.25 g	675
	Not Applicable	675
	500 mg	651
	80 mg	642
	0.1, gram	642
	50ml	642
	200mg	638
	2.5 L	626
	0.5g	593
	0.5 g extracted from 3 homogenized cores	592
	100 g	576
	2L	571
	500 g	552
	50 mL	542
	4 soil cores mixed	540
	1 g	537
	0.01, g	529
	0.5 mL	529
	Missing	526
	1 organism	521
	2 g	499
	roots from one plant specimen	494
	2 kg	472
air		472
	10 ramets	472
	10 grams	464
	DNA extracted from 5 g soil	456
	40 mL	451
	1 kg	451
	250 mg	449
	4 liters	448
	5 mL	441
	100 ml	438
	40 pooled cores of 50-mm diam. Samples to 50 mm depth from 2500-m2 area	437
	5 g	434
	2 swabs	429
	1 litre	427
	25 mL	425
	single cell	413
	0.2 g	409
	1.5 g of sediment was weighed and used for DNA extraction.	398
	15 g	392
	1 liter	387
	25L	387
	2 L	386
	150 mL	384
	10L	379
	250	375
	200 ml	368
	100, mg	368
	500ml	368
	300ml	362
	Fecal pellets (>1g)	361
	single fecal pellet	360
	2 gr.	354
	swab	352
	250L	348
	1kg	346
	5 kg	338
	200 ?l	337
	1 specimen	336
water	10 L	334
	2g	330
	15mL collected, 50uL for DNA Extraction	328
	Pair of swabs from the middle meatus	327
	0.2Gram	323
	30 flowers	318
	5L	311
	Size of ulcer	310
	30µL	310
	0g	306
	~50mg	306
host-associated	150mg	304
	10 mL	301
	15 g sediment	300
	200 mg dry weight	300
	cDNA obtained from RNA after ultracentrifugation with 1 µg RNA	300
	100 grams	298
	~ 0.5L	293
	1g	290
	~ 10g	284
