env_package	store_cond	count
		22098330
host-associated		76927
human-gut		60830
water		21327
miscellaneous natural or artificial environment		16433
human-skin		14771
built environment		14600
soil		14459
human-oral		11917
		9520
sediment		7590
human-associated		7148
plant-associated		3623
microbial mat_biofilm		3111
	-80 C	1781
	not applicable	1730
	not collected	1645
	missing	1421
	-	1297
wastewater_sludge		1289
human-vaginal		1124
	-80C	1105
	etoh	1084
	Missing	1077
	-80	1077
	NA	848
	-20 C	790
soil	-80C	708
	frozen	638
	Freezer	631
	-20 celsius	550
	ethanol	516
air		472
	Air dried for 1-2 weeks then stored at -20 degrees C	450
	90% Ethanol	449
	70% ethanol	426
	EtOH	401
	DMSO	392
	Fresh	386
	tissue in ethanol @ -20C; DNA in water @ -20C	384
	RNAlater	358
	-80C; 2ul Ca2+ & Mg2+ free PBS	353
	100% ethanol	343
	-20°C	324
	NaCl-saturated, 20% DMSO	320
	freeze-dried	296
	stored in 4°C up to one week	293
	liquid nitrogen	281
	Ethanol	272
	-80°C	254
	lyophilized + frozen	240
	frozen at -80	240
	minus 20 C	234
soil	frozen;15 days	229
	-80 degrees Celsius for storage, 2 weeks to 2 months storage prior to extraction	210
	precipitation mix	208
	Frozen	207
	minus 80	190
	20% DMSO-EDTA	184
	soil and DNA stored at -80 C	183
	stored in RNAlater 6 months	174
soil	LifeGuard	174
soil	-80	171
	bsDNA in molecular grade water at -80C	157
soil	freeze-dried for transportation and long-term storage at -80�C	156
	fresh	154
	snap frozen on dry ice and stored at -80C	150
	95% EtOH	148
	dry ice during sample and transport, storage -80 freezer	141
	Mice feces were collected and immediately frozen by liquid nitrogen and stored at -80 celsius degree until further use	137
	20C	135
	Frozen at -70ºC	134
	-80 degrees celcius, 6 months	131
	frozen at -80C until DNA extracted in 2014	130
	1 day in -20oC freezer	128
	-20 celcius	127
	field lysis by bead beating in Xpedition lysis solution (Zymo Research)	124
	stored on ice; processed within 36 hours of collection	123
	Sarcosyl urea	120
	-80 degree one year	120
	4 months -80°C	118
	4	117
	Fecal pellets directly stored in 1.5 ml criovials at -80°C	115
	Not applicable	113
	FFPE	113
	Stored with ice at sampling, frozen at -20 the same day, thawed, sieved and then frozen at -80 C before DNA extraction	109
soil	4º/-20ºC	108
	10 g of soil with an equal volume of sucrose lysis buffer (Giovannoni et al., 1990). Samples were stored at -20 C for 3 months until extracted	107
	N/A	106
	-80°C 5 months	104
	PAXgene blood RNA tube	104
	Minus 80 degrees	102
	1-3 years dry	96
	stored for approx. two months in LifeGuard Soil Preservation Solution (Quiagen)	96
	Refrigerator	96
	Air.Drying	96
	ehtanol	93
	-80C in RNALater	92
	frozen_-20C_4months	92
	in storage buffer	90
	Frozen in liquid nitrogen	90
	flash frozen; then -80C	90
	Liquid Nitrogen	89
host-associated	90 days -80C	88
	liquid N	88
	TRIzol in -80C freezer	87
soil	Frozen	84
	minus 20 _C	81
	stored in TRIzol and quickly frozen in liquid nitrogen,then stored at -80℃, extract within 1 week	80
	preserved in RNAlater (Life Technologies, Inc.) on ice, followed by storage at minus 20degC and transfer to minus 80degC until RNA extraction.	78
	RNA later, -80 degree C	77
soil	-20	77
	4 deg C in ethanol, subsamples at -20 deg C	76
	Flash frozen	76
	24C	74
	Sample was stored on dry ice while still on the field, then at -80°C for 6 months until DNA extraction.	74
	dry < 24h	73
	refrigerated EDTA blood	71
	-20 °C freezer, 6 months	71
	-80℃	71
	-80C, <6 mos	70
	frozen_-20C_18months	68
	Tissue in RNA later prior to RNA extraction	67
	One week	66
	-20 °C	64
	-80 degrees celcius in cyrovials	64
	liquid nitrogen;-80 degree Celsius freezer	64
	-80Â°C, frozen with DMSO	64
	16C	61
	field sample in plastic bag subsampled in the laboratory and frozen at -80C within 6 hours of sampling, then stored in the freezer for 6-12 months	61
	- 20 Celsius	61
	1 week	59
	-80 °C, approx. 1 year	56
soil	Whirl-pak	56
	samples were kept in Molecular grade ethanol and frozen.	55
	-80 degree freezer	55
